text,true_label,predicted_label,confidence,explanation
"The user reported inconsistent loading times on the project management dashboard. Recent server updates might be the cause. After the user cleared the cache and restarted the application, the issue still persists. The user is still experiencing slow loading times.",IT Support,Technical Support,0.4460357129573822,"Model je predvideo 'Technical Support' (pouzdanost 44.60%), ali prava kategorija je 'IT Support'."
"There was a system outage that affected data analytics processes. The issue could be related to a router failure. After restarting the router and checking connections, the problem still exists. Assistance is needed to resolve the issue and restore the investment optimization processes.",IT Support,Technical Support,0.4341384768486023,"Model je predvideo 'Technical Support' (pouzdanost 43.41%), ali prava kategorija je 'IT Support'."
"Customer support, experiencing difficulty in retrieving pricing information. Recent updates to the website might be the cause. Attempted clearing the cache with various browsers but to no avail. Kindly help in resolving this issue.",Sales and Pre-Sales,Technical Support,0.43131980299949646,"Model je predvideo 'Technical Support' (pouzdanost 43.13%), ali prava kategorija je 'Sales and Pre-Sales'."
"Support Needed for Data Analytics Platform Our data analytics platform has experienced a failure, disrupting the investment optimization process. The crash might be due to a server overload or a software bug. We have restarted the servers and updated the software, but the problem continues. Kindly h...",IT Support,Technical Support,0.43090036511421204,"Model je predvideo 'Technical Support' (pouzdanost 43.09%), ali prava kategorija je 'IT Support'."
"Customer support, experiencing difficulties in retrieving pricing information. Recent updates to the website might be the cause. I have attempted clearing the cache and used various browsers, but the issue persists. Kindly help in resolving this problem.",Sales and Pre-Sales,Technical Support,0.42886772751808167,"Model je predvideo 'Technical Support' (pouzdanost 42.89%), ali prava kategorija je 'Sales and Pre-Sales'."
"Issue with Project Management Software An error has been encountered with the project management software, which is impacting the integration across multiple products. This might be due to recent updates. Steps such as restarting the application and clearing the cache were taken to resolve connectiv...",Returns and Exchanges,Technical Support,0.4280127286911011,"Model je predvideo 'Technical Support' (pouzdanost 42.80%), ali prava kategorija je 'Returns and Exchanges'."
"Problem with Hospital Data Accessibility The medical data at the hospital has become inaccessible due to a malfunction in the recent security update. It is suspected that the recent software patch might be conflicting with the existing systems, leading to a data lockout. Attempts to roll back the up...",Product Support,Technical Support,0.42729899287223816,"Model je predvideo 'Technical Support' (pouzdanost 42.73%), ali prava kategorija je 'Product Support'."
"Greetings to the support team, I hope this message finds you well. I am reaching out to bring to your attention the inaccuracies in the investment predictions service. I believe this might be due to outdated data models. Despite my efforts in restarting the analytics tool and examining the data feed...",Product Support,Technical Support,0.42456457018852234,"Model je predvideo 'Technical Support' (pouzdanost 42.46%), ali prava kategorija je 'Product Support'."
"Request for Support with Data Analytics Platform The data analytics platform has experienced a failure, disrupting the investment optimization process. This may have been caused by a server overload or a software bug. After restarting the servers and updating the software, the problem remains unreso...",IT Support,Technical Support,0.4232695400714874,"Model je predvideo 'Technical Support' (pouzdanost 42.33%), ali prava kategorija je 'IT Support'."
"Hospital Data Access Problem The medical data at the hospital has become unavailable due to a malfunction in the recent security update. The new software patch might be conflicting with the existing systems, leading to a data lockout. Attempts to rollback the update and restart the server were unsuc...",Product Support,Technical Support,0.42322200536727905,"Model je predvideo 'Technical Support' (pouzdanost 42.32%), ali prava kategorija je 'Product Support'."
"Problem with Investment Forecast Generation on the Platform Customer Support, I am encountering an issue with the analytics platform's ability to generate the required investment forecasts. Even after refreshing the data and restarting the platform, the problem continues. The issue might be due to o...",Customer Service,Technical Support,0.4230618476867676,"Model je predvideo 'Technical Support' (pouzdanost 42.31%), ali prava kategorija je 'Customer Service'."
"Support with Digital Strategy Campaign Performance Challenges The recent campaign did not perform well, with decreased engagement. After reviewing the data and making adjustments, the results are still not satisfactory. We need assistance in pinpointing the cause and enhancing the strategy.",Product Support,Technical Support,0.42283889651298523,"Model je predvideo 'Technical Support' (pouzdanost 42.28%), ali prava kategorija je 'Product Support'."
"Problem with Project Management Dashboard There are occasional access problems with the project management dashboard. This might be related to recent server updates. I have cleared the cache and verified the user permissions, but the issue continues. We need your help to resolve this as soon as poss...",Product Support,Technical Support,0.42262187600135803,"Model je predvideo 'Technical Support' (pouzdanost 42.26%), ali prava kategorija je 'Product Support'."
